(Id (primary), url_id, url, tokenized_source)
(0, 0, 'http://alfardan.com.qa', 'Alfardan AUTOMOTIVE New Contact us Alfardan PROPERTY HOSPITALITY Alfardan MARINE SERVICES Alfardan JEWELLERY PROPERTY HOSPITALITY AUTOMOTIVE JEWELLERY Alfardan EXCHANGE Webmail access About us Alfardan AUTOMOTIVE Alfardan INVESTMENT Alfardan JEWELLERY MARINE SERVICES EXCHANGE Alfardan JEWELLERY Discover more about Alfardan Group En Alfardan MARINE SERVICES News Alfardan EXCHANGE OUR LINE OF BUSINESS Alfardan AUTOMOTIVE Alfardan PROPERTY HOSPITALITY INVESTMENT Careers Home Alfardan MARINE SERVICES Alfardan INVESTMENT Alfardan INVESTMENT Portal access Ar Discover The Group Alfardan EXCHANGE Alfardan PROPERTY HOSPITALITY Read more')
(1, 1, 'http://aijaidah.com.qa', 'Organization Chart FABRICS PROJECTS HOME Walkway Shade TENTS Beach Umbrellas WHO WE ARE Canopies Qatar Port Exit Shade Qatar Foundation Shade Qatar Museum Shade Kharama Corniche Car Shade Qatar Port Exit Shade Qatar Foundation Shade Qatar Museum Shade Kharama Corniche Car Shade Awards Certifications Awning Entrance Shade CONTACT US Playground Shade Swimming Pool Shade Gallery Car Parking Shade Webmail PRODUCTS SERVICES')
(2, 2, 'http://aa-group.com.qa', '')
(3, 3, 'http://aalaf.com.qa', 'WEB LINKS MEMBERSHIP SERVICES HOME Our Product JOIN Aalaf ENVIRONMENTAL SAFETY SERVICES EVENTS Contact CONTACT CAREERS NEWS Home News Resources FEED SAFETY RESOURCES Events ABOUT COMMITTEES STUDY GROUPS Feed OF OUR PRODUCT About RESOURCES')
(4, 4, 'http://aamerqatar.com.qa', '')
(5, 5, 'http://aaroh.com.qa', 'PCI DSS About us GDPR Compliance Readiness Sunbirditsoft Security Opaeration Centers Strategic Advisory Managed Security Services SOC DPO Services Advisory Services Data Recovery Password Recovery Forensic as a Service policy Resources NIA Implemnation Readines Governance Risk Compliance RESOURCES Configuration Review Managed Security Services 91 974400 52222 Home Incidence Response Security Analytics Threat Intelligence Read More DDOS Protection Metication Mobile Application Security Security Privacy Architecture Cyber Security Assessment Qatar Privacy Law Turnkey Digital Forensic Lab HOME ICS SCADA IoT Security Threat Intelligence info aaroh com qa DDos Simulation Malware Analysis Network Security Audit Sayer Building Block 9 Barwa Commercial Avenue Doha Qatar NDA Online Network Forensic Web Application Security IT Asset Management BCP and Disaster Recovery ISO 27001 Readiness SERVICES POLICY Vulnerability Assessment Penetration Testing Risk Management Services 97 4 4005 2222 Risk Assessment HIPAA Privacy Policy Current State Security Assessment Business Needs Assessment Virtual CISO Architecture Review Threat Modeling ABOUT US Operational Review')
(6, 6, 'http://aayan.com.qa', 'LEADERSHIP TEAM MITSUBISHI LANCER GLX About us HILUX DC SR5 P TOYOTA PRADO TXL AURION GRANDE Toyota Our Services 974 44 999 894 TOYOTA CAMRY Contact Suzuki NISSAN Values and Belifes APV PANEL VAN COMPANY PROFILE Cars info aayan com qa AR JUKE INNOVA OPERATING LEASE home Honda READ MORE BOARD OF DIRECTORS HILUX PICK UP D C P 4x2 Privacy Policy kia TOYOTA LAND CRUISER Mitsubishi Feedback SUZUKI APV 8 974 44 999 888 LEASE WITH PURCHASE OPTION HILUX PICK UP D C D 4x4')
(7, 7, 'http://ababay.com.qa', 'Size cgi bin Last modified Description qcare qa Name')
(8, 8, 'http://abats.com.qa', 'Ministry of Finance Next HOME Amsterdam Charity Marathon SaaS Conference Ministry of Environment Previous Distribution Divisions Services Survey Qatar Academy abats alibinali com About Us DIVISIONS CONTACT Corporate Divisions Contact Us SERVICES Tweets by AliBinAliTS ABOUT US ISO 9001 Certification Qatar Foundation Enterprise Division Service Centre SURVEY QEPT Distribution Division Enterprise Divisions Corporate Division')
(9, 9, 'http://abc.com.qa', 'DaVinci Media Know more View Our Solutions Solutions About ABC Leadership SUPPORT MAINTENANCEWith unrivalled customer care being the hallmark of ABC s value additions we take great pride in the level of support and maintenance services we offer Know More Partners PROJECT MANAGEMENTStrengthened by the talents of Qatar s leading IT professionals who form part of ABC s team We offer end to end Project Management on a variety of IT related needs Support The Team Contact Us Competencies Midis Group CONSULTANCIESABC offers a superior consultation service Our team of professionals stand ready and waiting to offer client s expert advice and assessment services related to the following requirements Careers Home info abc com qa About ABC Qatar Part of East Gulf Ltd')
